Lon,Lat,Mask,Conf,brt_t13(K),frp(MW),line,sample,Sat,YearDay,Hour
125.817848,-21.015568,8,75,368.258087,245.464020,29,3141,NDE,2018312,0419
125.803482,-21.016537,8,35,327.288971,40.558846,29,3142,NDE,2018312,0419
125.994148,-21.054764,8,67,339.840729,76.590393,34,3128,NDE,2018312,0419
125.980339,-21.055828,7,26,323.133728,25.337751,34,3129,NDE,2018312,0419
125.979530,-21.041843,9,92,343.941467,98.765938,35,3129,NDE,2018312,0419
125.965652,-21.042900,9,98,356.067291,159.900406,35,3130,NDE,2018312,0419
125.951790,-21.043959,9,100,365.734772,225.868668,35,3131,NDE,2018312,0419
125.937950,-21.045021,9,100,386.303589,410.366455,35,3132,NDE,2018312,0419
125.924103,-21.046080,8,79,327.746674,44.046040,35,3133,NDE,2018312,0419
125.922012,-21.018045,8,77,325.309601,36.320183,37,3133,NDE,2018312,0419
125.908066,-21.019083,8,43,318.392395,17.832729,37,3134,NDE,2018312,0419
125.852516,-21.023220,8,45,330.643341,47.030460,37,3138,NDE,2018312,0419
125.838501,-21.024263,9,100,392.583954,483.830109,37,3139,NDE,2018312,0419
125.824280,-21.025312,9,100,382.181580,370.740143,37,3140,NDE,2018312,0419
125.809929,-21.026377,9,98,356.954590,171.798645,37,3141,NDE,2018312,0419
125.982086,-20.901220,8,56,323.287933,28.112003,45,3128,NDE,2018312,0419
125.968307,-20.902166,8,55,322.182098,25.298027,45,3129,NDE,2018312,0419
125.974739,-20.909889,8,77,325.305786,32.021427,53,3128,NDE,2018312,0419
125.946404,-20.897953,9,87,336.214508,66.572403,54,3130,NDE,2018312,0419
125.930206,-20.871017,8,76,324.675598,34.903408,56,3131,NDE,2018312,0419
125.916260,-20.872038,9,87,336.718811,75.805908,56,3132,NDE,2018312,0419
141.762039,-18.732723,8,42,334.431549,9.455670,94,1302,NDE,2018312,0419
141.760788,-18.725769,9,93,350.310211,29.317743,95,1302,NDE,2018312,0419
141.760666,-18.724985,9,100,361.432587,50.523193,96,1301,NDE,2018312,0419
141.759430,-18.718023,9,100,383.227966,107.639229,97,1301,NDE,2018312,0419
141.743393,-18.720638,9,87,343.599731,18.738548,97,1303,NDE,2018312,0419
141.735367,-18.721947,9,82,338.716736,12.408770,97,1304,NDE,2018312,0419
142.880310,-18.524775,9,84,343.489502,22.931028,98,1168,NDE,2018312,0419
141.758179,-18.711084,9,84,341.274689,17.889336,98,1301,NDE,2018312,0419
142.878998,-18.517469,9,94,351.470032,37.270397,99,1168,NDE,2018312,0419
141.756912,-18.704138,9,84,340.797760,18.181086,99,1301,NDE,2018312,0419
142.904572,-18.505590,9,100,364.762756,68.823433,100,1165,NDE,2018312,0419
142.903244,-18.498276,9,93,350.372437,37.588646,101,1165,NDE,2018312,0419
142.885284,-18.501326,9,95,353.098206,41.523102,101,1167,NDE,2018312,0419
142.876358,-18.502851,8,58,339.505524,18.425184,101,1168,NDE,2018312,0419
141.738388,-18.692862,9,95,353.563690,37.835609,101,1303,NDE,2018312,0419
142.892944,-18.492487,9,100,360.812347,60.134239,102,1166,NDE,2018312,0419
142.883942,-18.494019,9,100,367.273132,76.475998,102,1167,NDE,2018312,0419
141.737137,-18.685925,9,85,341.639099,20.784357,102,1303,NDE,2018312,0419
141.729126,-18.687225,9,97,356.632629,43.989731,102,1304,NDE,2018312,0419
141.727875,-18.680279,9,100,366.528503,65.547989,103,1304,NDE,2018312,0419
142.838791,-18.449047,9,80,349.440308,38.273521,109,1171,NDE,2018312,0419
142.882217,-18.433977,9,93,350.549957,37.126316,110,1166,NDE,2018312,0419
142.882858,-18.430912,9,87,343.018860,23.667326,112,1165,NDE,2018312,0419
142.873886,-18.432421,9,87,343.717712,25.012249,112,1166,NDE,2018312,0419
142.790833,-18.431356,9,82,345.796143,28.710957,114,1175,NDE,2018312,0419
142.711258,-18.444756,8,68,338.301422,16.361185,114,1184,NDE,2018312,0419
141.524628,-18.640581,9,80,337.323730,12.077663,114,1327,NDE,2018312,0419
142.780609,-18.425571,9,100,371.903778,86.316429,115,1176,NDE,2018312,0419
142.762756,-18.428589,9,90,346.786316,28.003002,115,1178,NDE,2018312,0419
142.770279,-18.419823,8,50,340.273621,19.420082,116,1177,NDE,2018312,0419
142.761307,-18.421341,8,35,337.167786,14.367119,116,1178,NDE,2018312,0419
142.691101,-18.433210,9,84,345.792999,28.129194,116,1186,NDE,2018312,0419
142.680923,-18.427444,9,87,343.730225,27.242886,117,1187,NDE,2018312,0419
133.317337,-19.257586,8,57,322.909698,8.798760,195,2326,NDE,2018312,0419
133.273300,-19.254122,7,25,326.887390,11.515421,196,2331,NDE,2018312,0419
133.253738,-19.238861,8,38,326.868073,11.587520,198,2333,NDE,2018312,0419
133.245071,-19.239891,8,45,327.174805,12.593288,198,2334,NDE,2018312,0419
133.260254,-19.220478,8,51,328.756531,13.802960,200,2332,NDE,2018312,0419
133.251572,-19.221508,9,93,346.639648,41.237129,200,2333,NDE,2018312,0419
140.906250,-17.759029,7,29,325.321289,6.594636,259,1376,NDE,2018312,0419
140.905060,-17.752222,8,43,327.470886,8.406001,260,1376,NDE,2018312,0419
143.885849,-17.228252,9,93,349.132507,48.041164,263,1034,NDE,2018312,0419
140.901505,-17.731773,8,53,325.109283,7.761549,263,1376,NDE,2018312,0419
140.893845,-17.733006,8,60,327.671936,9.280635,263,1377,NDE,2018312,0419
143.874023,-17.222233,9,98,357.208099,69.638306,264,1035,NDE,2018312,0419
140.892654,-17.726194,9,100,366.957764,65.656738,264,1377,NDE,2018312,0419
